"HYMN TITLE","Text","ELH#","TLH#","LW#","LBW#","CW#","HS'98#"
"A Boy is Born in Bethlehem",,112,,,,,
"A Great and Mighty Wonder","1 Tim 3:16",113,76,51,,36,
"A Hymn of Glory Let Us Sing","Acts 1:11",389,212,149,157,171,
"A Lamb Alone Bears Willingly","Is 53:7",331,142,111,105,100,
"A Lamb Goes Uncomplaining Forth","Is 53:7",331,142,111,105,100,
"A Mighty Fortress Is Our God","Ps 46",251,262,297,229,201,
"A Mighty Fortress Is Our God","Ps 46",250,262,298,228,200,
"A Multitude Comes from the East and the West","Matt 8:11, 12",200,415,464,313,,
"A Pilgrim and a Stranger","Ps 29:12",,586,,,,
"A Rest Remaineth for the Weary","Heb 4:9",,615,,,,
"A Stable Lamp is Lighted","Luke 2:6-7",,,,74,,810
"A Wondrous Mystery is Here",,309,,,,,
"Abide in Grace O Jesus",,579,,,,,
"Abide O Dearest Jesus","Luke 24:29",312,53,287,263,333,
"Abide with me Fast Falls the Eventide","Luke 24:29",561,552,490,272,588,
"Abide with Us Our Savior","Luke 24:29",312,53,287,263,333,
"Abide with Us the Day is Waning","Luke 24:13-35",563,194,,,,
"Across the Sky the Shades of Night","Ps 121:1",,110,181,,69,
"Adoramus te Domine","Rev 11:16-19",,,,,,894
"Ah Holy Jesus How Hast Thou Offended","Luke 23:20-24",292,143,119,123,117,
"Alabare","Rev 5:8-13",,,,,,896
"Alas and Did My Savior Bleed","Luke 23:44-46",282,154,97,98,129,
"Alas My God My Sins Are Great","Ps 38:4",,317,232,,,
"All Creatures of Our God and King","Ps 65:8-13",,,436,527,,
"All Depends on Our Possessing","Prov 10:22",468,425,415,447,421,
"All Glory Be to God Alone","Luke 2:14",36,238,210,,262,
"All Glory Be to God on High","Luke 2:14",35,237,215,166,263,
"All Glory Laud and Honor","Matt 21:16",277,160,102,108,131,
"All Hail the Power of Jesus' Name","Rev 19:16",49,339,272,328,370,
"All Hail the Power of Jesus' Name","Rev 19:16",49,339,272,329,370,
"All Hail to You O Blessed Morn",,,,,73,,
"All Mankind Fell in Adam's Fall","Rom 3:12",491,369,363,,378,
"All men Living Are But Mortal","Is 40:6",472,601,,,,
"All My Heart Sings and Rejoices","Luke 2:11",115,77,39,46,37,
"All My Heart This Night Rejoices","Luke 2:11",115,77,39,46,37,
"All My Hope on God is Founded",,203,,,,,
"All People that on Earth Do Dwell","Ps 100",51,14,435,245,233,
"All Praise Be Yours",,435,,,,350,
"All Praise to God Who Reigns Above","Deut 32:3",435,19,452,542,236,
"All Praise to Thee Eternal God","John 1:14",565,80,35,48,33,
"All Praise to Thee My God This Night","Ps 91:4",,558,484,278,592,
"All praise to Thee, for Thou, O King divine","Phil 2:5-11",,,,,,862
"All Praise to You Eternal Lord","John 1:14",565,80,35,48,33,
"All Praise to You O Lord",,,,,78,,
"All that I Was My Sin My Guilt","1 Cor 15:10",451,378,,,,
"All the Earth with Joy Is Sounding","Matt 12:39-41",,,,,,829
"All Who Believe and Are Baptized","Mark 16:16",241,301,225,194,299,
"All Who Love and Serve Your City",,,,,436,,
"All Who Would Valiant Be","Heb 11:13-16, 33-40",,,383,498,,
"All Ye Who on the Earth do Dwell","Ecclus 50:22-24",52,581,,,,
"All Ye Who on This Earth do Dwell","Ecclus 50:22-24",52,581,,,,
"All You Works of God, Bless the Lord!","Ps 103:20-22",,,,,,914
"Alleluia",,,,,,,907
"Alleluia Alleluia Give Thanks",,,,,,154,
"Alleluia Jesus Lives",,340,,,,153,
"Alleluia Sing to Jesus",,,,,158,169,
"Alleluia!  Sing to Jesus","Rev 7:9-14",,,,,,851
"Alleluia, Song of Gladness","Ps 137:1-6",,,,,,819
"Allelujah/Alleluia/Hallelujah Let Praises Ring","Rev 19:1",6,23,437,,241,
"Almighty Father Bless the Word","Luke 8:3",412,52,216,,323,
"Almighty Father Heaven and Earth","1 Pet 4:10",447,438,,,480,
"Almighty Father Strong to Save",,,,,467,517,
"Almighty God Thy Word is Cast","Mark 4:3-9",228,49,342,234,324,
"Almighty God Your Word is Cast","Mark 4:3-9",228,49,342,234,324,
"Almighty Lord before Thy Throne","Ps 59:16",,579,,,,
"Am I a Soldier of the Cross","1 Cor 16:13",,445,,,,
"Amazing Grace How Sweet the Sound","Rom 3:22-24",,,509,448,379,
"Amid the World's Bleak Wilderness","Ps 80:8-19",,,273,378,342,
"An Awefull Mystery Is Here","1 Cor 11:23-35",309,304,,,,
"And Have the Bright Immensities",,,,,391,,
"And will the Judge Descend","Matt 25:41",,610,,,,
"And Wilt Thou Pardon, Lord","Ps 143:4",,322,,,,
"Angels from the Realms of Glory","Matt 2:2",114,136,50,50,80,
"Angels We Have Heard on High","Luke 2:7-20",116,,55,71,63,
"Approach My Soul the Mercy-Seat","Matt 11:28",,456,,,,
"Arise and Shine in Splendor","Is 60:1-6",166,126,85,,81,
"Arise My Soul Arise",,,,,516,244,
"Arise My Soul Sing Joyfully",,118,,,,44,
"Arise O Christian People","Luke 3:4, 5",,75,25,,14,
"Arise O God and Shine","Is 60:3",,642,,,,
"Arise Sons of the Kingdom","Luke 19:28",105,69,,,,
"Arm These Thy Soldiers, Mighty Lord","Eph 6:13",508,332,,,,
"Around the Throne a Glorious Band",,,,,,549,
"Around the Throne of God a Band","Ps 91:11",546,256,,,198,
"Around You O Lord Jesus",,,,,496,,
"Art Thou Weary Art Thou Troubled","Matt 11:28",,513,,,,
"As After the Waterbrooks Panteth",,462,,,,,
"As Angels Joyed with One Accord",,,,,,5,
"As Each Happy Christmas","Luke 2:4-7",117,,66,,,
"As Men of Old Their Firstfruits Brought",,,,,404,,
"As Moses Lost in Sinai's Wilderness","Ps 22:3-5",,,324,,,
"As Pants the Hart for Cooling Streams","Ps 42",,525,,452,,
"As Saints of Old Their Firstfruits Brought",,,,,404,,
"As Surely as I Live God Said","Ezek 33:11",417,331,235,,308,
"As We Begin Another Week","Rev 1:10",,7,,,223,
