SUNDAYS,OT,Epistle,Gospel,Psalm,Chief Hymn
First Sunday in Advent,Jeremiah 33:14-18,Romans 13:11-14,St. Matthew 21:1-9,Psalm 25,90
Second Sunday in Advent,Micah 4:1-7,Romans 15:4-13,St. Luke 21:25-36,Psalm 80,100
Third Sunday in Advent,Malachi 3:1-6,1 Corinthians 4:1-5,St. Matthew 11:2-10,Psalm 85,105
Fourth Sunday in Advent,Isaiah 40:1-8,Philippians 4:4-7,St. John 1:19-28,Psalm 19,110
First Sunday after Christmas,Isaiah 11:1-5,Galatians 4:1-7,St. Luke 2:33-40,Psalm 93,154
Second Sunday after Christmas,Isaiah 42:1-9,1 Peter 4:12-19,St. Matthew 2:13-23,Psalm 106,163
First Sunday after Epiphany,Isaiah 61:1-3,Romans 12:1-5,St. Luke 2:41-52,Psalm 100,181
Second Sunday after Epiphany,Deuteronomy 18:15-19,Romans 12:6-16,St. John 2:1-11,Psalm 66,"189, 190"
Third Sunday after Epiphany,Jeremiah 33:6-9,Romans 12:16-21,St. Matthew 8:1-13,Psalm 97,198
Fourth Sunday after Epiphany,Isaiah 43:1-3,Romans 13:8-10,St. Matthew 8:23-27,Psalm 102,207
Fifth Sunday after Epiphany,Jeremiah 17:5-10,Colossians 3:12-17,St. Matthew 13:24-30,Psalm 20,211
Transfiguration of Our Lord,Isaiah 61:10-11,2 Peter 1:16-21,St. Matthew 17:1-9,Psalm 84,224
Septuagesima Sunday,Jeremiah 1:4-10,1 Corinthians 9:24-10:5,St. Matthew 20:1-16,Psalm 18,227
Sexagesima Sunday,Isaiah 55:10-13,2 Corinthians 11:19-12:9,St. Luke 8:4-15,Psalm 44,591
Quinquagesima Sunday (or Baptism of Jesus),Isaiah 35:3-7,1 Corinthians 13:1-13,St. Luke 18:31-43,Psalm 31,236
Baptism of Our Lord (or Quinquagesima),Isaiah 42:1-7,1 Peter 3:18-22,St. Matthew 3:13-17,Psalm 89,247
"Invocavit, First Sunday in Lent",Genesis 3:1-24,2 Corinthians 6:1-10,St. Matthew 4:1-11,Psalm 91,250/251
"Reminiscere, Second Sunday In Lent",Isaiah 45:20-25,1 Thessalonians 4:1-7,St. Matthew 15:21-28,Psalm 25,257
"Oculi, Third Sunday In Lent",2 Samuel 22:1-7,Ephesians 5:1-9,St. Luke 11:14-28,Psalm 123,18
"Laetare, Fourth Sunday In Lent",Isaiah 49:8-13,Galatians 4:21-31,St. John 6:1-15,Psalm 125,263/264
"Judica, Fifth Sunday in Lent",Genesis 12:1-3,Hebrews 9:11-15,St. John 8:46-59,Psalm 43,273
"Palmarum, Sixth Sunday in Lent",Zechariah 9:9-10,Philippians 2:5-11,St. Matthew 21:1-9,Psalm 22,277
Easter Sunday,Isaiah 52:13-15,1 Corinthians 5:6-8,St. Mark 16:1-8,Psalm 118,343
"Quasimodogeniti, Second Sunday of Easter",Job 19:25-27,1 John 5:4-12,St. John 20:19-31,Psalm 81,366
"Misericordia Domini, Third Sunday of Easter",Ezekiel 34:11-16,1 Peter 2:21-25,St. John 10:11-16,Psalm 33,368
