dayname,type,lesson1,lesson2,gospel,psalm,s2lesson,s2gospel,s3lesson,s3gospel,hymnabc,hymn,note
St. Thomas the Apostle,historic,,Eph. 1:3-6,John 19:24-31,,,,,,,,
"St. John, Apostle and Evangelist",historic,,1 John 1:1-10,John 21:19-24,,,,,,,,
St. Mark the Evangelist,historic,,Eph. 4:7-16,Luke 10:1-9,,,,,,,,
St. Stephen the Martyr,historic,,Acts 6:8-15; 7:54-60,Matt. 23:34-39,,,,,,,,
Trinity,ilcwb,Dt. 6:4-9,Rom. 8:14-17,Jn. 3:1-17,96,,,,,38,403,
Trinity,ilcwc,Prov. 8:22-31,Rom. 5:1-5,Jn. 16:12-15,8,,,,,38,405,
Trinity,historic,Ezek. 18:30-32,Rom. 11:33-36,John 3:1-15,8,1 Jn. 3:1-10,John 15:12-17,Titus 3:3-7,Matt. 28:16-20,,,
Trinity,ilcwa,Gen. 1:1-2:3,2 Co. 13:11-14,Mt. 28:16-20,135,,,,,38,18,
Pentecost 4,ilcwb,Ezek. 17:22-24,2 Co. 5:1-10,Mk. 4:26-34,92:1-15,,,,,20,483,
Pentecost 4,ilcwc,2 Sm. 11:26-12:15,Gal. 2:11-21,Lk. 7:36-50,32,,,,,20,522,
Pentecost 4,ilcwa,Ex. 19:2-8a,Rom. 5:6-11,Mt. 9:35-10:8,100,,,,,20,202,
Pentecost 5,ilcwb,Job 38:1-11,2 Co. 5:14-21,Mk. 4:35-41,107,,,,,439,209,
Pentecost 5,ilcwc,Zech. 12:7-10,Gal. 3:23-29,Lk. 9:18-24,119:41ff,,,,,439,422,
Pentecost 5,ilcwa,Jer. 20:7-13,Rom. 5:12-15,Mt. 10:24-33,91,,,,,439,174,
Second Last,ilcwb,Dan. 7:9-10,Heb. 12:1-2,Mk. 13:24-31,111,,,,,534,537,
Second Last,ilcwc,Jer. 8:4-7,2 Co. 5:1-10,Lk. 19:11-27,92:1-8,,,,,534,537,
Second Last,historic,Is. 40:9-11,2 Th. 1:3-10,Matt. 25:31-46,50,1 Cor. 15:22-28,Matt. 11:25-30,Heb. 4:9-13,John 5:22-29,,,
Second Last,ilcwa,Jer. 25:30-32,1 Thes. 1:3-10,Mt. 25:31-46,105:1-7,,,,,534,537,
Pentecost 7,ilcwb,Ezek. 2:1-5,2 Co. 12:7-10,Mk. 6:1-6,143:1-8,,,,,437,503,
Pentecost 7,ilcwc,Is. 66:10-14,Gal. 6:1-16,Lk. 10:1-20,19,,,,,437,505,
Pentecost 7,ilcwa,Zech. 9:9-12,Rom. 7:15-25a,Mt. 11:25-30,119:137ff,,,,,437,413,
Pentecost 2,ilcwb,Dt. 5:12-15,2 Co. 4:5-12,Mk. 2:23-28,142,,,,,33,485,
Pentecost 2,ilcwc,1 Kg. 8:41-43,Gal. 1:1-10,Lk. 7:1-10,117,,,,,33,460,
Pentecost 2,ilcwa,Dt. 11:18-28,Rom. 3:21-28,Mt. 7:15-29,4,,,,,33,511,
Pentecost 3,ilcwb,Gn. 3:9-15,2 Co. 4:13-18,Mk. 3:20-35,28,,,,,257,252,
Pentecost 3,ilcwc,1 Kg. 17:17-24,Gal. 1:11-24,Lk. 7:11-17,116:1-9,,,,,257,423,
Pentecost 3,ilcwa,Hos. 5:15-6:6,Rom. 4:18-25,Mt. 9:9-13,119:65ff,,,,,257,451,
Pentecost 8,ilcwb,Amos 7:10-15,Eph. 1:3-14,Mk. 6:7-13,126,,,,,591,192,
Pentecost 8,ilcwc,Dt. 30:9-14,Col. 1:1-14,Lk. 10:25-37,25:1-10,,,,,591,459,
Pentecost 8,ilcwa,Is. 55:10-11,Rom. 8:18-25,Mt. 13:1-23,65,,,,,591,228,
Conversion of St. Paul,historic,,Acts 9:1-22,Matt. 19:27-30,,,,,,,,
Pentecost 16,ilcwb,Is. 35:4-7a,Jam. 1:17-27,Mk. 7:31-37,146,,,,,470,237,
Pentecost 16,ilcwc,Prov. 9:8-12,Philemon,Lk. 14:25-33,119:169ff,,,,,470,424,
Pentecost 16,ilcwa,Ezek. 33:7-9,Rom. 13:1-10,Mt. 18:15-20,119:113ff,,,,,470,506,
