dayname,color,theme,introit,gradual
"Presentation of the Augsburg Confession","Red","The Birthday of the Lutheran Church","I will speak of Your testimonies also before kings, And will not be ashamed. God is our refuge and strength, A very present help in trouble. Therefore we will not fear, Even though the earth be removed, And though the mountains be carried into the midst of the sea; I will speak of Your testimonies also before kings, And will not be ashamed. Glory...",""
"St. Thomas the Apostle","White","Strenthening of Faith","I know whom I have believed and am persuaded that He is able to keep what I have committed to Him until that Day. There is laid up for me the crown of righteousness, which the Lord, the righteous Judge, will give to me. O LORD, You have searched me and known me. You know my sitting down and my rising up; You understand my thought afar off. Glory...",""
"St. John, Apostle and Evangelist","White","Living in the Light of God's Word","I know whom I have believed and am persuaded that He is able to keep what I have committed to Him until that Day. There is laid up for me the crown of righteousness, which the Lord, the righteous Judge, will give to me. O LORD, You have searched me and known me. You know my sitting down and my rising up; You understand my thought afar off. Glory...",""
"St. Mark the Evangelist","White","","I know whom I have believed and am persuaded that He is able to keep what I have committed to Him until that Day. There is laid up for me the crown of righteousness, which the Lord, the righteous Judge, will give to me. O LORD, You have searched me and known me. You know my sitting down and my rising up; You understand my thought afar off. Glory...",""
"St. Stephen the Martyr","Red","Suffering for Christ","I know whom I have believed and am persuaded that He is able to keep what I have committed to Him until that Day. There is laid up for me the crown of righteousness, which the Lord, the righteous Judge, will give to me. O LORD, You have searched me and known me. You know my sitting down and my rising up; You understand my thought afar off. Glory...",""
"Trinity","White","Born of the Spirit","Blessed be the Holy Trinity and the undivided Unity; let us give glory to Him because He has shown mercy to us. O Lord, our Lord, how excellent is Your Name in all the earth! Glory...","<span class=""liturgist"">Who beholds the deep and who dwells between the cherubim.</span><br><span class=""congregation"">Blessed are You, O Lord,</span><br><span class=""liturgist"">In the firmament of heaven, and greatly to be praised forever.</span><br><span class=""congregation"">Blessed are You, O Lord,</span><br><span class=""liturgist"">God of our fathers, and greatly to be praised forever.</span><br><span class=""congregation"">Blessed be the Lord God of our fathers,</span><br><span class=""liturgist"">Praise Him and highly exalt Him forever.</span>"
"Pentecost 4","Green","","",""
"Pentecost 5","Green","","",""
"Second Last","Green","Last Judgment","Save me, O God, by Your name, and vindicate me by Your strength.  Hear my prayer, O God; give ear to the words of my mouth.  He will repay my enemies for their evil.  Cut them off in Your truth. Glory...","<span class=""liturgist"">And to the earth, that He may judge His people.</span><br><span class=""congregation"">Let the heavens declare His righteousness,</span><br><span class=""liturgist"">For God Himself is Judge.</span><br><span class=""congregation"">The ransomed of the Lord shall return, and come to Zion with singing, with everlasting joy on their heads.</span><br><span class=""liturgist"">They shall obtain joy and gladness, and sorrow and sighing shall flee away.</span><br><span class=""congregation"">Behold, I am coming quickly.</span><br><span class=""liturgist"">Amen. Even so, come, Lord Jesus!</span>"
"Pentecost 7","Green","","",""
"Pentecost 2","Green","","",""
"Pentecost 3","Green","","",""
"Pentecost 8","Green","","",""
"Conversion of St. Paul","White","","I know whom I have believed and am persuaded that He is able to keep what I have committed to Him until that Day. There is laid up for me the crown of righteousness, which the Lord, the righteous Judge, will give to me. O LORD, You have searched me and known me. You know my sitting down and my rising up; You understand my thought afar off. Glory...",""
"Pentecost 16","Green","","",""
"Pentecost 17","Green","","",""
"Pentecost 14","Green","","",""
"Pentecost 15","Green","","",""
"Pentecost 12","Green","","",""
"Pentecost 13","Green","","",""
"Pentecost 10","Green","","",""
"Pentecost 11","Green","","",""
"Christmas second","White","Nativity of our Lord","",""
"Pentecost 18","Green","","",""
"New Year's Eve","White","New Year","",""
