 HYMN TITLE,Text,LSB#,TLH#,LW#,LBW#,ELH#,CW#,WOV#,HS'98#
"""As Surely as I Live,"" God Said",Ezek 33:11,614,331,235,,417,308,,
"""Away from Us!"" the Demon Cried",Mark 1:23-26,541,,,,,,,
"""Come, Follow Me,"" the Savior Spake",Matt 16:24,688,421,379,455,422,453,,
"""Forgive Our Sins as We Forgive""",Luke 11:4,843,,,307,,493,,877
"""How Shall they Hear,"" Who Have Not Heard",Rom 10:14-15,831,,,,,,,868
A Boy is Born in Bethlehem,,,,,,112,,,
A Great and Mighty Wonder,John 1:14,383,76,51,,113,36,,
A Hymn of Glory Let Us Sing,Acts 1:9-11,493,212,149,157,389,171,,
A Lamb alone bears willingly,Is 53:1-12,438,142,111,105,331,100,,
A Lamb Goes Uncomplaining Forth,Is 53:1-12,438,142,111,105,331,100,,
A Mighty Fortress Is Our God,"Ps 46:1, 7, 11",656-657,262,298,228,250,200,,
A Mighty Fortress Is Our God,"Ps 46:1, 7, 11",656-657,262,297,229,251,201,,
A Multitude Comes from the East and the West,Matt 8:11-12,510,415,464,313,200,,,
A Pilgrim and a Stranger,Ps 29:12,,586,,,,,,
A Rest Remaineth for the Weary,Heb 4:9,,615,,,,,,
A Stable Lamp is Lighted,Luke 2:6-7,,,,74,,,,810
A Wondrous Mystery is Here,,,,,,309,,,
Abide in Grace O Jesus,,,,,,579,,,
Abide with Me,Luke 24:29,878,552,490,272,561,588,,
Abide with Us Our Savior,Luke 24:29,919,53,287,263,312,333,,
Abide with Us the Day is Waning,Luke 24:13-35,,194,,,563,,,
"Abide, O Dearest Jesus",Luke 24:29,919,53,287,263,312,333,,
Across the Sky the Shades of Night,Ps 121:1,899,110,181,,,69,,
Addoramus te Domine,Rev 11:16-19,,,,,,,,894
Agnus Dei—I,John 1:29,962,,,,,,,
Agnus Dei—II,John 1:29,963,,,,,,,
Ah Holy Jesus How Hast Thou Offended,Luke 23:20-24,439,143,119,123,292,117,,
Alabare,Rev 5:8-13,799-800,,,,,,791,896
Alas My God My Sins Are Great,Ps 38:4,,317,232,,,,,
Alas! And Did My Savior Bleed,Matt 27:45-50,437,154,97,98,282,129,,
All Christians Who Have Been Baptized,Rom 6:1-10,596,,,,,,,
All Creatures of Our God and King,Ps 65:8-13,,,436,527,,,,
All Depends on Our Possessing,Matt 6:19-34,732,425,415,447,468,421,,
All for Christ I Have Forsaken,Phil 3:7-14,753,,,,,,,
All Glory Be to God Alone,Luke 2:10-14,948,238,210,,36,262,,
All Glory Be to God on High,Luke 2:14,947,237,215,166,35,263,,
"All Glory, Laud, and Honor",John 12:12-15,442,160,102,108,277,131,,
All Hail the Power of Jesus' Name,Rev 19:16,549,339,272,328,49,370,,
All Hail the Power of Jesus' Name,Rev 19:16,549,339,272,329,49,370,,
All Hail to You O Blessed Morn,,,,,73,,,,
All Mankind Fell in Adam's Fall,Rom 5:12-21,562,369,363,,491,378,,
All men Living Are But Mortal,Is 40:6,,601,,,472,,,
