dayname,Collect,Color,Deitrich Collect,Epistle,Gospel,Old Testament,Psalm,Series 2 Gospel,Series 2 Lesson,Series 3 Gospel,Series 3 Lesson,Theme,Title
Second Last,"O God, so rule and govern our hearts and minds by Your Holy Spirit, that, being ever mindful of the end of all things and the day of Your last judgment, we may be stirred up to holiness of living here and dwell with You forever hereafter; through Jesus Christ, Your Son, our Lord, who lives and reigns with You and the Holy Spirit, one true God, now and forever. Amen. ",Green,"O almighty, eternal and merciful God, by Your beloved Son, our Lord and Savior Jesus Christ, You established the kingdom of grace for us in Your holy Church here on earth, that we might believe the forgiveness of our sins, since You are a God who has no pleasure in the death of the wicked, but that the wicked turn from his way and live: We beseech You, graciously forgive us all our sins; through the same, Your Son, Jesus Christ, who lives and reigns with You and the Holy Spirit, one true God, now and forever. Amen.",2 Thes 1:3-10,Matt 25:31-46,Isa 40:9-11,50,Matt 11:25-30,1 Cor 15:22-28,John 5:22-29,Heb 4:9-13,Last Judgment,2nd-Last Sunday of the Church Year
"St. Philip and St. James, Apostles",,White,,Eph. 2:19-20,John 14:1-14,,,,,,,,Sts. Philip and James the Apostles
Baptism of Jesus,"Father in heaven, as at the baptism in the Jordan river You once proclaimed Jesus Your beloved Son and anointed Him with the Holy Spirit, grant that all who are baptized in His name may faithfully keep the covenant into which they have been called, boldly confess their Savior, and with Him be heirs of life eternal; through Jesus Christ, Your Son, our Lord, who lives and reigns with You and the Holy Spirit, one true God, now and forever. Amen. ",Green,"Lord God, heavenly Father, You manifested Yourself, with the Holy Spirit, in the fullness of grace at the baptism of Your dear Son, and with Your voice directed us to Him who has borne our sins, that we might receive grace and the remission of sins: Keep us, we beseech You, in the true faith; and inasmuch as we have been baptized in accordance with Your command, and the example of Your dear Son, we pray You to strengthen our faith by Your Holy Spirit, and lead us to everlasting life and salvation; through Your beloved Son, Jesus Christ, our Lord, who lives and reigns with You and the Holy Spirit, one true God, now and forever. Amen. ",1 Pet 3:18-22,Matt 3:13-17,Isa 42:1-9,89,Luke 18:31-43,Eph 5:25-27,John 1:29-34,Isa 53:1-7,"Baptism of Our Lord, Jesus","Baptism of Our Lord, Jesus"
Pentecost second,,Red,,Acts 2:42-47,John 4:5-26,Isa 32:14-20,19,,,,,,Whit-Monday
St. Stephen the Martyr,"Grant, O Lord, that in all our sufferings here upon earth for the testimony of Your truth we may steadfastly look up to heaven and by faith behold the glory that shall be revealed; and, being filled with the Holy Spirit, may learn to love and bless our persecutors by the example of Your first martyr, Saint Stephen, who prayed for his murderers to You, O blessed Jesus, who stands at the right hand of God to help all those who suffer for You, our only Mediator and advocate; who lives and reigns with Father and the Holy Spirit, one true God, now and forever. Amen. ",Red,,Acts 6:8-15; 7:54-60,Matt. 23:34-39,,,,,,,Suffering for Christ,St. Stephen the Martyr
Trinity,"Almighty God, by Your grace alone we are called into Your kingdom, to confess the true faith, to acknowledge the glory of the eternal Trinity, and in the power of the divine majesty to worship the true Unity: We beseech You, that You would keep us steadfast in this faith, and evermore defend us from all adversities; for You, O Father, Son, and Holy Spirit, live and reign, one true God, now and forever. Amen. ",White,"O Lord God, heavenly Father: We poor sinners confess that in our flesh dwells no good thing, and that, left to ourselves, we die and perish in sin, since that which is born of flesh is flesh and cannot see the kingdom of God. But we pray that You would grant us Your grace and mercy, and for the sake of Your Son, Jesus Christ, send Your Holy Spirit into our hearts, that being regenerate we may firmly believe the forgiveness of sins according to Your promise in baptism, and that we may daily increase in Christian love and in other good works, until we at last obtain eternal salvation; through the same Your beloved Son Jesus Christ, our Lord, who lives and reigns with You and the Holy Spirit, one true God, now and forever. Amen.",Rom 11:33-36,John 3:1-15,Eze 18:30-32,8,John 15:12-17,1 John 3:1-10,Matt 28:16-20,Titus 3:3-7,Born of the Spirit,Festival of Holy Trinity
New Year's Eve,"Almighty and everlasting God, from whom comes down every good and perfect gift: We give You thanks for all Your benefits, temporal and spiritual, bestowed upon us in the year past, and we beseech You of Your goodness, grant us a favorable and joyful year, defend us from all dangers and adversities, and send upon us the fullness of Your blessing; through Jesus Christ, Your Son, our Lord, who lives and reigns with You and the Holy Spirit, one true God, now and forever. Amen. ",White,,1 Pet 1:22-25,Luke 13:6-10,Isa 63:7-18,90,,,,,New Year,New Year's Eve
St. Mary Magdalene,,White,,,Luke 7:36-50,Prov. 31:10-31,,,,,,,St. Mary Magdalene
"St. Peter and St. Paul, Apostles",,White,,Acts 12:1-11,Matt. 16:13-20,,,,,,,,Sts. Peter and Paul the Apostles
St. Thomas the Apostle,"Almighty and ever-living God, who through the Word of Your Son did mightily strengthen the faith of Your Apostle Saint Thomas: by the same Word keep us ever steadfast in the faith unto our end; through Jesus Christ, Your dear Son, our Lord, who lives and reigns with You and the Holy Spirit, one true God, now and forever. Amen. ",White,,Eph. 1:3-6,John 19:24-31,,,,,,,Strenthening of Faith,St. Thomas the Apostle
St. Matthias the Apostle,,White,,Acts 1:15-26,Matt. 11:25-30,,,,,,,,St. Matthias the Apostle
Sexagesima,"O God, You see that we do not put our trust in anything we do: Mercifully grant, that by Your power we may be defended against all adversity; through Jesus Christ, Your Son, our Lord, who lives and reigns with You and the Holy Spirit, one true God, now and forever. Amen. ",Green,"Lord God, heavenly Father, we thank You that through Your Son Jesus Christ You have sown Your holy Word among us: We pray that You will prepare our hearts by Your Holy Spirit, that we may diligently and reverently hear Your Word, keep it in good hearts, and bring forth fruit with patience; and that we may not incline to sin, but subdue it by Your power, and in all persecutions comfort ourselves with Your grace and continual help; through Your beloved Son, Jesus Christ, our Lord, who lives and reigns with You and the Holy Spirit, one true God, now and forever. Amen. ",2 Co 11:19-12:9,Luke 8:4-15,Isa 55:10-13,44,John 12:35-43,1 Cor 1:20-25,Matt 9:37-10:7,2 Tim 3:14-4:5,Word of God: Sower and the Seed,Sexagesima Sunday
Conversion of St. Paul,,White,,Acts 9:1-22,Matt. 19:27-30,,,,,,,,The Conversion of St. Paul
St. Mark the Evangelist,,White,,Eph. 4:7-16,Luke 10:1-9,,,,,,,,St. Mark the Evangelist
"St. Matthew, Apostle and Evangelist",,White,,Eph. 4:7-14,Matt. 9:9-13,,,,,,,,St. Matthew the Apostle
All Saints' Day,"O almighty God, You have knit together Your elect in one communion and fellowship in the mystical body of Your Son, Christ our Lord: Grant us grace to follow Your blessed saints in all virtuous and godly living, that we may come to those unspeakable joys which You have prepared for those who truly love You; through Jesus Christ, Your Son, our Lord, who lives and reigns with You and the Holy Spirit, one true God, now and forever. Amen. ",White,"O almighty and everlasting God, through Your only-begotten and beloved Son, Jesus Christ, You will sanctify all Your elect and beloved: Give us grace to follow their faith, hope, and love, that we together with them may obtain eternal life; through Your Son, Jesus Christ, our Lord, who lives and reigns with You and the Holy Spirit, one true God, now and forever. Amen. ",Rev 7:2-12,Matt 5:1-12,Isa 25:6-9,33,Matt 5:13-16,Rev 7:13-17,Luke 6:20-26,Rev 22:1-7,Saints and Martyrs,All Saints' Day
Good Friday,"Almighty God, we pray that You would graciously behold this Your family, for which our Lord Jesus Christ was content to be betrayed into the hands of wicked men and to suffer death upon the cross; through the same, Jesus Christ, Your Son, our Lord, who lives and reigns with You and the Holy Spirit, one true God, now and forever. Amen. ",Black,"Almighty and everlasting God, You willed that Your Son should bear for us the pains of the cross, that You might remove from us the power of the adversary: Help us to remember and give thanks for our Lord's Passion that we may obtain remission of sin and redemption from everlasting death; through the same, our Lord Jesus Christ. Amen. ",Heb 10:1-25,John 18:1-19:42,Isa 52:13-53:12,22,,,,,Jesus' Atoning Death,Good Friday
Quinquagesima,"O Lord, we beseech You, mercifully hear our prayers, and having set us free from the bonds of sin, defend us from all evil; through Jesus Christ, Your Son, our Lord, who lives and reigns with You and the Holy Spirit, one true God, now and forever. Amen. ",Green,,1 Cor 13:1-13,Luke 18:31-43,Isa 35:3-7,31,John 12:23-36,1 Pet 3:18-22,,,Up to Jerusalem,Quinquagesima Sunday
Ash Wednesday,"Almighty and everlasting God, You hate nothing that You have made and You forgive the sins of all those who are penitent; create and make in us new and contrite hearts, that we, worthily lamenting our sins and acknowledging our wretchedness, may obtain of You, the God of all mercy, perfect remission and forgiveness; through Jesus Christ, Your Son, who lives and reigns with You and the Holy Spirit, one true God, now and forever. Amen. ",Black or Purple,,2 Cor 5:20-6:10,Matt 6:16-21,Joel 2:12-19,51,Luke 6:20-49,1 John 1:5-9,,,Penitence and Repentance,Ash Wednesday
